Z	Sym.	Element	Block	Group	Period	Atomic weight	Origin	Specific heat capacity	Electro-negativity	Name origin	Abundance in Earth's crust	Melting point	Boiling point	Density	Phase
1	H	Hydrogen	s-block	1	1	1.008	primordial	14.304	2.2	[k]	1400	14.01	20.28	0.00008988	gas
2	He	Helium	s-block	18	1	4.0026	primordial	5.193	–	[l]	0.008	–[m]	4.22	0.0001785	gas
3	Li	Lithium	s-block	1	2	6.94	primordial	3.582	0.98	[n]	20	453.69	1560	0.534	solid
4	Be	Beryllium	s-block	2	2	9.0122	primordial	1.825	1.57	[o]	2.8	1560	2742	1.85	solid
5	B	Boron	p-block	13	2	10.81	primordial	1.026	2.04	[p]	10	2349	4200	2.34	solid
6	C	Carbon	p-block	14	2	12.011	primordial	0.709	2.55	[q]	200	>4000	4300	2.267	solid
7	N	Nitrogen	p-block	15	2	14.007	primordial	1.04	3.04	[r]	19	63.15	77.36	0.0012506	gas
8	O	Oxygen	p-block	16	2	15.999	primordial	0.918	3.44	[s]	461000	54.36	90.2	0.001429	gas
9	F	Fluorine	p-block	17	2	18.998	primordial	0.824	3.98	[t]	585	53.53	85.03	0.001696	gas
10	Ne	Neon	p-block	18	2	20.18	primordial	1.03	–	[u]	0.005	24.56	27.07	0.0009002	gas
11	Na	Sodium	s-block	1	3	22.99	primordial	1.228	0.93	[v]	23600	370.87	1156	0.968	solid
12	Mg	Magnesium	s-block	2	3	24.305	primordial	1.023	1.31	[w]	23300	923	1363	1.738	solid
13	Al	Aluminium	p-block	13	3	26.982	primordial	0.897	1.61	[x]	82300	933.47	2792	2.7	solid
14	Si	Silicon	p-block	14	3	28.085	primordial	0.705	1.9	[y]	282000	1687	3538	2.329	solid
15	P	Phosphorus	p-block	15	3	30.974	primordial	0.769	2.19	[z]	1050	317.3	550	1.823	solid
16	S	Sulfur	p-block	16	3	32.07	primordial	0.71	2.58	[aa]	350	388.36	717.87	2.07	solid
17	Cl	Chlorine	p-block	17	3	35.45	primordial	0.479	3.16	[ab]	145	171.6	239.11	0.0032	gas
18	Ar	Argon	p-block	18	3	39.95	primordial	0.52	–	[ac]	3.5	83.8	87.3	0.001784	gas
19	K	Potassium	s-block	1	4	39.098	primordial	0.757	0.82	[ad]	20900	336.53	1032	0.89	solid
20	Ca	Calcium	s-block	2	4	40.078	primordial	0.647	1	[ae]	41500	1115	1757	1.55	solid
21	Sc	Scandium	d-block	3	4	44.956	primordial	0.568	1.36	[af]	22	1814	3109	2.985	solid
22	Ti	Titanium	d-block	4	4	47.867	primordial	0.523	1.54	[ag]	5650	1941	3560	4.506	solid
23	V	Vanadium	d-block	5	4	50.942	primordial	0.489	1.63	[ah]	120	2183	3680	6.11	solid
24	Cr	Chromium	d-block	6	4	51.996	primordial	0.449	1.66	[ai]	102	2180	2944	7.15	solid
25	Mn	Manganese	d-block	7	4	54.938	primordial	0.479	1.55	[aj]	950	1519	2334	7.21	solid
26	Fe	Iron	d-block	8	4	55.845	primordial	0.449	1.83	[ak]	56300	1811	3134	7.874	solid
27	Co	Cobalt	d-block	9	4	58.933	primordial	0.421	1.88	[al]	25	1768	3200	8.9	solid
28	Ni	Nickel	d-block	10	4	58.693	primordial	0.444	1.91	[am]	84	1728	3186	8.908	solid
29	Cu	Copper	d-block	11	4	63.546	primordial	0.385	1.9	[an]	60	1357.77	2835	8.96	solid
30	Zn	Zinc	d-block	12	4	65.38	primordial	0.388	1.65	[ao]	70	692.88	1180	7.14	solid
31	Ga	Gallium	p-block	13	4	69.723	primordial	0.371	1.81	[ap]	19	302.9146	2673	5.91	solid
32	Ge	Germanium	p-block	14	4	72.63	primordial	0.32	2.01	[aq]	1.5	1211.4	3106	5.323	solid
